Tempo,RSSI,SNR,num_pacote
230247,-55,9.25,113
232284,-56,9.00,114
234321,-55,9.50,115
236358,-55,9.50,116
238395,-56,9.25,117
240432,-56,9.25,118
242469,-41,9.00,119
244506,-38,8.50,120
246543,-58,9.25,121
248580,-13,9.25,122
250617,-5,9.75,123
252654,-6,9.50,124
254691,-7,9.00,125
256728,-19,9.00,126
258765,-20,9.25,127
262839,-25,9.50,129
264876,-37,8.75,130
266913,-27,9.50,131
268950,-37,9.00,132
270987,-25,9.25,133
273024,-26,9.00,134
275061,-26,8.75,135
277098,-24,8.75,136
279135,-25,8.75,137
281172,-27,8.75,138
283209,-23,9.00,139
285246,-21,9.50,140
287283,-22,9.00,141
289320,-47,8.50,142
291357,-23,9.00,143
293394,-20,9.25,144
295431,-23,7.75,145
297468,-23,9.00,146
299505,-28,9.50,147
301542,-47,9.25,148
303579,-27,9.00,149
305616,-31,9.50,150
307653,-48,9.00,151
309690,-49,9.00,152
311727,-47,9.25,153
313764,-49,9.25,154
315801,-49,9.25,155
317838,-53,9.00,156
319875,-53,9.00,157
321912,-53,9.00,158
323949,-52,9.25,159
325986,-52,9.50,160
328023,-46,9.25,161
330060,-47,9.00,162
332097,-23,9.00,163
334134,-31,9.25,164
336171,-28,9.00,165
338208,-38,8.75,166
340245,-27,9.25,167
342282,-28,8.75,168
344319,-29,9.50,169
346356,-28,9.50,170
348393,-34,9.25,171
350430,-22,9.25,172
352467,-48,9.00,173
