Tempo,RSSI,SNR,num_pacote
795901,-90,8.75,1482
796438,-79,9.00,1483
796975,-84,9.00,1484
797512,-77,9.00,1485
798049,-74,9.00,1486
798586,-73,9.25,1487
799123,-78,9.25,1488
799660,-88,9.50,1489
800197,-73,9.50,1490
800734,-68,9.25,1491
801271,-74,9.25,1492
801808,-70,9.50,1493
802345,-82,9.50,1494
802882,-79,9.25,1495
803419,-80,9.25,1496
803956,-78,9.50,1497
804493,-74,8.75,1498
805030,-72,9.25,1499
805567,-73,9.50,1500
806104,-65,9.00,1501
806641,-81,9.00,1502
807178,-77,9.25,1503
807715,-59,9.25,1504
808252,-65,9.00,1505
808789,-65,9.00,1506
809326,-65,9.75,1507
809863,-67,9.50,1508
810400,-65,9.00,1509
810937,-70,9.25,1510
811474,-60,9.25,1511
812011,-87,9.25,1512
812548,-85,9.50,1513
813085,-69,9.25,1514
813622,-73,9.25,1515
814159,-75,9.25,1516
814696,-75,9.00,1517
815233,-75,9.00,1518
815770,-75,9.50,1519
816307,-75,10.00,1520
816844,-79,9.50,1521
817381,-79,9.25,1522
817918,-81,8.50,1523
818455,-80,8.75,1524
818992,-82,9.75,1525
819529,-75,9.50,1526
820066,-75,9.25,1527
820603,-75,9.25,1528
821140,-74,9.50,1529
821677,-72,9.75,1530
822214,-71,9.25,1531
822751,-70,9.75,1532
823288,-70,9.50,1533
823825,-70,9.25,1534
824362,-70,9.50,1535
824899,-70,9.50,1536
825436,-69,9.25,1537
825973,-70,9.25,1538
826510,-68,9.50,1539
827047,-68,9.00,1540
827584,-69,9.25,1541
828121,-80,9.50,1542
828658,-71,9.50,1543
829195,-71,9.25,1544
829732,-71,9.50,1545
830269,-70,9.25,1546
830806,-71,9.25,1547
831343,-68,9.50,1548
831880,-72,9.50,1549
832417,-75,9.25,1550
832954,-76,9.50,1551
834028,-69,9.50,1553
834565,-75,9.00,1554
835102,-78,9.00,1555
835639,-74,8.75,1556
836176,-76,9.25,1557
836713,-71,9.25,1558
837250,-74,9.25,1559
