Tempo,RSSI,SNR,num_pacote
4870,-28,1,0
7324,-31,1,1
9787,-36,1,2
12243,-31,1,3
14699,-34,1,4
17476,-29,1,5
19909,-33,1,6
22368,-41,1,7
24855,-40,1,8
27283,-40,1,9
29749,-40,1,10
32211,-42,1,11
34677,-38,1,12
37125,-38,1,13
39588,-35,1,14
42047,-40,1,15
44490,-33,1,16
46953,-34,1,17
49410,-29,1,18
51858,-30,1,19
54013,-34,1,20
55884,-30,1,21
58624,-44,1,22
61101,-38,1,23
63541,-39,1,24
65691,-34,1,25
67547,-37,1,26
70299,-39,1,27
72757,-36,1,28
75213,-38,1,29
77687,-37,1,30
80120,-37,1,31
82594,-39,1,32
85045,-37,1,33
87509,-38,1,34
89961,-39,1,35
92408,-38,1,36
94873,-37,1,37
97341,-38,1,38
99796,-35,1,39
102252,-37,1,40
104706,-36,1,41
107170,-37,1,42
109625,-39,1,43
112087,-39,1,44
114635,-34,1,45
117020,-37,1,46
119758,-37,1,47
122223,-30,1,48
124703,-39,1,49
127131,-29,1,50
129588,-35,1,51
132072,-36,1,52
134496,-35,1,53
136958,-37,1,54
139409,-40,1,55
141915,-32,1,56
144648,-30,1,57
147138,-29,1,58
149270,-28,1,59
151697,-31,1,60
154196,-40,1,61
156624,-37,1,62
159116,-36,1,63
161540,-38,1,64
163985,-37,1,65
166445,-40,1,66
168921,-41,1,67
171369,-43,1,68
173826,-36,1,69
176289,-39,1,70
178748,-32,1,71
181198,-34,1,72
183338,-39,1,73
186121,-40,1,74
188573,-36,1,75
191018,-32,1,76
193486,-38,1,77
195990,-37,1,78
198392,-31,1,79
200849,-41,1,80
203307,-43,1,81
205764,-40,1,82
208254,-31,1,83
210680,-34,1,84
213186,-35,1,85
215612,-36,1,86
218053,-37,1,87
220520,-32,1,88
223004,-34,1,89
225426,-38,1,90
227884,-36,1,91
230341,-37,1,92
234358,-38,1,93
236806,-37,1,94
239259,-40,1,95
241733,-39,1,96
244175,-42,1,97
246628,-39,1,98
249080,-39,1,99
251543,-36,1,100
254004,-39,1,101
256463,-37,1,102
258921,-38,1,103
261384,-36,1,104
263835,-37,1,105
266294,-41,1,106
268766,-41,1,107
271208,-40,1,108
273666,-37,1,109
276120,-39,1,110
278573,-38,1,111
281048,-37,1,112
283496,-41,1,113
285973,-35,1,114
288402,-36,1,115
290869,-36,1,116
293328,-38,1,117
295785,-36,1,118
298233,-43,1,119
300695,-43,1,120
